rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,coordinate_frame,type_mask,position,x,y,z,velocity,x,y,z,acceleration_or_force,x,y,z,yaw,yaw_rate
1536033396622599857,,2744,,1536033396,619745408,'',1,0,,-0.0796108469367,-0.118710555136,3.10468101501,,-0.0408445782959,-0.0172257125378,-0.699999988079,,-0.188457489014,0.0449296683073,6.31281137466,0.299943059683,0.0
1536033396722856530,,2745,,1536033396,715745408,'',1,0,,-0.0796108469367,-0.118710555136,3.05053663254,,-0.0384217277169,-0.00892012100667,-0.699999988079,,-0.184039056301,0.0570057556033,6.3599395752,0.299943059683,0.0
1536033396822468431,,2746,,1536033396,815743616,'',1,0,,-0.0796108469367,-0.118710555136,2.99145531654,,-0.0345476903021,-0.00148686498869,-0.699999988079,,-0.158178985119,0.0632168352604,6.41572761536,0.299943059683,0.0
1536033396934202215,,2747,,1536033396,915743616,'',1,0,,-0.0796108469367,-0.118710555136,2.93047213554,,-0.0296384878457,0.00492325890809,-0.699999988079,,-0.16647914052,0.0448357723653,6.44342041016,0.299943059683,0.0
1536033397033282487,,2748,,1536033397,20743616,'',1,0,,-0.0796108469367,-0.118710555136,2.86473464966,,-0.0238236635923,0.0104633485898,-0.699999988079,,-0.157990247011,0.0424005500972,6.47401857376,0.299943059683,0.0
1536033397124068139,,2749,,1536033397,120743616,'',1,0,,-0.0796108469367,-0.118710555136,2.80068731308,,-0.0179336089641,0.0144540816545,-0.354321569204,,-0.14861124754,0.0431814044714,7.1503200531,0.299943059683,0.0
1536033397242869265,,2750,,1536033397,216741824,'',1,0,,-0.0796108469367,-0.118710555136,2.13253355026,,-0.012442747131,0.0173209048808,0.566389977932,,-1.12891018605e-15,2.27247437767e-31,9.21825122833,0.299943059683,0.0
1536033397332891242,,2751,,1536033397,316738496,'',1,0,,-0.0796108469367,-0.118710555136,1.63817512989,,-0.00745809311047,0.0201257802546,0.765611886978,,-1.12891018605e-15,2.27247437767e-31,9.21825122833,0.299943059683,0.0
1536033397422363327,,2752,,1536033397,420734144,'',1,0,,-0.0796108469367,-0.118710555136,1.2762004137,,-0.00328518566675,0.0233003292233,0.845853030682,,-1.12891018605e-15,2.27247437767e-31,9.21825122833,0.299943059683,0.0
1536033397522036256,,2753,,1536033397,516737216,'',1,0,,-0.0796108469367,-0.118710555136,1.07238781452,,-0.000490990292747,0.024958178401,0.693288326263,,-1.12891018605e-15,2.27247437767e-31,9.21825122833,0.299943059683,0.0
1536033397623554370,,2754,,1536033397,617737216,'',1,0,,-0.0796108469367,-0.118710555136,0.985188424587,,0.000923119485378,0.0244920607656,0.11009606719,,-0.170427039266,0.00234165973961,5.70236778259,0.299943059683,0.0
1536033397722437948,,2755,,1536033397,716731584,'',1,0,,-0.0810181945562,-0.142865747213,0.900507152081,,0.1135321334,-0.367092609406,-0.518227458,,-0.0725382938981,-0.335613518953,6.53046226501,0.299943059683,0.0
1536033397823408256,,2756,,1536033397,817731584,'',1,0,,-0.0804225802422,-0.142049178481,0.86251604557,,0.261501431465,-0.845533490181,-0.699999988079,,0.0496089756489,-0.725549042225,6.81716394424,0.299943059683,0.0
1536033397922028038,,2757,,1536033397,916726976,'',1,0,,-0.0782051980495,-0.145882323384,0.860485732555,,0.345581054687,-1.11739504337,-0.699999988079,,0.0996184200048,-0.873204112053,6.590695858,0.299943059683,0.0
1536033398033422273,,2758,,1536033398,17735168,'',1,0,,-0.0730292350054,-0.158456131816,0.875766098499,,0.294237226248,-0.951380848885,-0.699999988079,,0.0276662260294,-0.639700770378,6.44017791748,0.299943059683,0.0
1536033398122487507,,2759,,1536033398,118739776,'',1,0,,-0.0641532689333,-0.18186634779,0.90162551403,,0.145238220692,-0.46961042285,-0.699999988079,,-0.13123460114,-0.145059853792,6.35990476608,0.299943059683,0.0
1536033398233826753,,2760,,1536033398,217744384,'',1,0,,-0.0557014644146,-0.205605968833,0.930091381073,,-0.00276833563112,0.00714549096301,-0.699999988079,,-0.253677874804,0.275941133499,6.29499530792,0.299943059683,0.0
1536033398343356452,,2761,,1536033398,317747968,'',1,0,,-0.0557014644146,-0.205605968833,0.957589685917,,-0.0138315530494,0.0392033718526,-0.699999988079,,-0.235108956695,0.248911142349,6.26200866699,0.299943059683,0.0
1536033398432842599,,2762,,1536033398,417745920,'',1,0,,-0.0310161784291,-0.278760135174,0.981755614281,,-0.0376618169248,0.121774986386,-0.699999988079,,-0.22783832252,0.270485162735,6.22468423843,0.299943059683,0.0
1536033398522536879,,2763,,1536033398,517744896,'',1,0,,-0.0231489855796,-0.306617498398,1.00126779079,,-0.185793027282,0.600888073444,-0.699999988079,,-0.355338037014,0.652110517025,6.2381901741,0.299415320158,0.0
1536033398622396326,,2764,,1536033398,618746432,'',1,0,,-0.0175029039383,-0.329977154732,1.01448690891,,-0.332182586193,1.08323597908,-0.699999988079,,-0.460269123316,0.999143064022,6.25702571869,0.291500538588,0.0
1536033398721867261,,2765,,1536033398,718750016,'',1,0,,-0.0146425291896,-0.344585418701,1.01990747452,,-0.469082415104,1.56254947186,-0.699999988079,,-0.542990505695,1.30729150772,6.26704740524,0.27583310008,0.0
1536033398843433977,,2766,,1536033398,818752320,'',1,0,,-0.0156378634274,-0.346099495888,1.01964426041,,-0.595055758953,2.04767465591,-0.699999988079,,-0.624265432358,1.59202003479,6.26304578781,0.262706369162,0.0
1536033398933036840,,2767,,1536033398,918755648,'',1,0,,-0.0216604247689,-0.32969930768,1.01310241222,,-0.707640767097,2.53360533714,-0.699999988079,,-0.681508243084,1.85299158096,6.25980043411,0.253156632185,0.0
1536033399022353420,,2768,,1536033399,15762560,'',1,0,,-0.0331186577678,-0.293349206448,1.00257968903,,-0.801181197166,3.00841355324,-0.699999988079,,-0.697803974152,2.06845998764,6.26329231262,0.239535167813,0.0
1536033399121305675,,2769,,1536033399,119761280,'',1,0,,-0.0522294864058,-0.229008823633,0.986612796783,,-0.721773386002,3.11179184914,-0.699999988079,,-0.591452777386,1.97598946095,6.26984024048,0.20490641892,0.0
1536033399222303060,,2770,,1536033399,219756672,'',1,0,,-0.0762701556087,-0.142615094781,0.96693533659,,-0.103459119797,0.371482610703,-0.43766272068,,-0.0266523901373,-0.561041593552,6.6325879097,0.166589215398,0.0
1536033399322449841,,2771,,1536033399,319763584,'',1,0,,-0.102963343263,-0.0402491316199,0.940425038338,,4.01364663687e-18,-8.07939307839e-34,-0.032773911953,,0.0322972461581,-0.842703402042,7.2199215889,0.140941217542,0.0
1536033399422820505,,2772,,1536033399,420763584,'',1,0,,-0.12867744267,0.0636233463883,0.917750239372,,0.0534639693797,-0.400560736656,-0.0298644118011,,0.0182589106262,-1.0108076334,7.07093524933,0.131825402379,0.0
